,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
30,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
31,Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
32,Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
33,Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
34,Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
35,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
36,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
37,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
38,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
39,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
40,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,
41,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,,
42,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,,
43,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,,
44,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,
45,Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,,
46,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,,
47,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,,
48,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,,
49,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,
50,Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
51,Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,
52,Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
53,Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
54,Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,
55,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,
56,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,
57,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,
58,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
59,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
60,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
61,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,
62,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,
63,AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,,
64,AIDS,muscle_wasting,patches_in_throat,high_fever,,,
65,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
66,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
67,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,
68,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,
69,AIDS,muscle_wasting,patches_in_throat,high_fever,,,
70,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
71,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
72,Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
73,Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
74,Diabetes ,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
75,Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity
76,Diabetes ,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity
77,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity
78,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
79,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
80,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
81,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
82,Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,
83,Gastroenteritis,vomiting,dehydration,diarrhoea,,,
84,Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,
85,Gastroenteritis,vomiting,sunken_eyes,dehydration,,,
86,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
87,Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,
88,Gastroenteritis,vomiting,dehydration,diarrhoea,,,
89,Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,
90,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
91,Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,
92,Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,
93,Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,
94,Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,
95,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,
96,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,
97,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
98,Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,
99,Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,
100,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
101,Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,
102,Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,,
103,Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,,
104,Hypertension ,headache,chest_pain,dizziness,lack_of_concentration,,
105,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,,
106,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
107,Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,
108,Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,,
109,Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,,
110,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
111,Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
112,Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
113,Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
114,Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression
115,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression
116,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression
117,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
118,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
119,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
120,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
121,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
122,Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,
123,Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,
124,Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,
125,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,
126,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,
127,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
128,Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,
129,Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,
130,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
131,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
132,Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,
133,Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,
134,Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,
135,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,,,
136,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
137,Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,
138,Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,
139,Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,
140,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
141,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
142,Jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
143,Jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
144,Jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine
145,Jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
146,Jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine
147,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine
148,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
149,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
150,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
151,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
152,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
153,Malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea
154,Malaria,chills,high_fever,sweating,headache,nausea,diarrhoea
155,Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea
156,Malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea
157,Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea
158,Malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea
159,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
160,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
161,Chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite
162,Chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite
163,Chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite
164,Chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite
165,Chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite
166,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite
167,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
168,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
169,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
170,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
171,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
172,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
173,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
174,Dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache
175,Dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache
176,Dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache
177,Dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache
178,Dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache
179,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache
180,Typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation
181,Typhoid,chills,vomiting,fatigue,high_fever,headache,constipation
182,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
183,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
184,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
185,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
186,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
187,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
188,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
189,Typhoid,chills,fatigue,high_fever,headache,nausea,constipation
190,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
191,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
192,hepatitis A,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
193,hepatitis A,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
194,hepatitis A,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain
195,hepatitis A,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
196,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
197,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain
198,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
199,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
200,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
201,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
202,Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
203,Hepatitis B,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
204,Hepatitis B,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
205,Hepatitis B,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain
206,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain
207,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain
208,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
209,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
210,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,
211,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
212,Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,
213,Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,
214,Hepatitis C,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,
215,Hepatitis C,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,
216,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,
217,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,
218,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
219,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
220,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
221,Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
222,Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
223,Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
224,Hepatitis D,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite
225,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite
226,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite
227,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
228,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
229,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
230,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
231,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
232,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
233,Hepatitis E,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea
234,Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea
235,Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea
236,Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
237,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea
238,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea
239,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
240,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
241,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
242,Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
243,Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
244,Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
245,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
246,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload
247,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload
248,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
249,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
250,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
251,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
252,Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness
253,Tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness
254,Tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness
255,Tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness
256,Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness
257,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness
258,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
259,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
260,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
261,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
262,Common Cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes
263,Common Cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes
264,Common Cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes
265,Common Cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes
266,Common Cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes
267,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes
268,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
269,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
270,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
271,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
272,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
273,Pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise
274,Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise
275,Pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise
276,Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise
277,Pneumonia,chills,fatigue,cough,high_fever,sweating,malaise
278,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise
279,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
280,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
281,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
282,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
283,Dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,
284,Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,,
285,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,,
286,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,,
287,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,,
288,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
289,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
290,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
291,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
292,Heart attack,breathlessness,sweating,chest_pain,,,
293,Heart attack,vomiting,sweating,chest_pain,,,
294,Heart attack,vomiting,breathlessness,chest_pain,,,
295,Heart attack,vomiting,breathlessness,sweating,,,
296,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
297,Heart attack,breathlessness,sweating,chest_pain,,,
298,Heart attack,vomiting,sweating,chest_pain,,,
299,Heart attack,vomiting,breathlessness,chest_pain,,,
300,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
301,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
302,Varicose veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
303,Varicose veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
304,Varicose veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
305,Varicose veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
306,Varicose veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf
307,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
308,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
309,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
310,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
311,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
312,Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
313,Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
314,Hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
315,Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes
316,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness,puffy_face_and_eyes
317,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes
318,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,puffy_face_and_eyes
319,Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
320,Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea
321,Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea
322,Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate
323,Hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate
324,Hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea,fast_heart_rate
325,Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate
326,Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate
327,Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,fast_heart_rate
